State, Political_Alignment,Abbreviation
Alabama,Red,AL
Alaska,Red,AK
Arizona,Blue,AZ
Arkansas,Red,AR
California,Blue,CA
Colorado,Blue,CO
Connecticut,Blue,CT
Delaware,Blue,DE
Florida,Red,FL
Georgia,Blue,GA
Hawaii,Blue,HI
Idaho,Red,ID
Illinois,Blue,IL
Indiana,Red,IN
Iowa,Red,IA
Kansas,Red,KS
Kentucky,Red,KY
Louisiana,Red,LA
Maine,Blue,ME
Maryland,Blue,MD
Massachusetts,Blue,MA
Michigan,Blue,MI
Minnesota,Blue,MN
Mississippi,Red,MS
Missouri,Red,MO
Montana,Red,MT
Nebraska,Red,NE
Nevada,Blue,NV
New Hampshire,Blue,NH
New Jersey,Blue,NJ
New Mexico,Blue,NM
New York,Blue,NY
North Carolina,Red,NC
North Dakota,Red,ND
Ohio,Red,OH
Oklahoma,Red,OK
Oregon,Blue,OR
Pennsylvania,Blue,PA
Rhode Island,Blue,RI
South Carolina,Red,SC
South Dakota,Red,SD
Tennessee,Red,TN
Texas,Red,TX
Utah,Red,UT
Vermont,Blue,VT
Virginia,Blue,VA
Washington,Blue,WA
West Virginia,Red,WV
Wisconsin,Blue,WI
Wyoming,Red,WY
